location_code,measurement_time,bicycle_count
PUT04_057A_P,2022-08-06 16:00:00,493
PUT04_057A_P,2022-08-06 17:00:00,503
PUT04_057A_P,2022-08-06 18:00:00,391
PUT04_057A_P,2022-08-06 19:00:00,377
PUT04_057A_P,2022-08-06 20:00:00,318
PUT04_057A_P,2022-08-06 21:00:00,263
PUT04_057A_P,2022-08-06 22:00:00,242
PUT04_057A_P,2022-08-06 23:00:00,209
PUT04_057A_P,2022-08-07 00:00:00,212
PUT04_057A_P,2022-08-07 01:00:00,214
PUT04_057A_P,2022-08-07 02:00:00,182
PUT04_057A_P,2022-08-07 03:00:00,189
PUT04_057A_P,2022-08-07 04:00:00,137
PUT04_057A_P,2022-08-07 05:00:00,57
PUT04_057A_P,2022-08-07 06:00:00,33
PUT04_057A_P,2022-08-07 07:00:00,33
PUT04_057A_P,2022-08-07 08:00:00,55
PUT04_057A_P,2022-08-07 09:00:00,126
PUT04_057A_P,2022-08-07 10:00:00,221
PUT04_057A_P,2022-08-07 11:00:00,313
PUT04_057A_P,2022-08-07 12:00:00,379
PUT04_057A_P,2022-08-07 13:00:00,393
PUT04_057A_P,2022-08-07 14:00:00,459
PUT04_057A_P,2022-08-07 15:00:00,515
PUT04_057A_P,2022-08-07 16:00:00,526
PUT04_057A_P,2022-08-07 17:00:00,507
PUT04_057A_P,2022-08-07 18:00:00,386
PUT04_057A_P,2022-08-07 19:00:00,318
PUT04_057A_P,2022-08-07 20:00:00,310
PUT04_057A_P,2022-08-07 21:00:00,259
PUT04_057A_P,2022-08-07 22:00:00,188
PUT04_057A_P,2022-08-07 23:00:00,136
PUT04_057A_P,2022-08-08 00:00:00,64
PUT04_057A_P,2022-08-08 01:00:00,46
PUT04_057A_P,2022-08-08 02:00:00,58
PUT04_057A_P,2022-08-08 03:00:00,19
PUT04_057A_P,2022-08-08 04:00:00,17
PUT04_057A_P,2022-08-08 05:00:00,49
PUT04_057A_P,2022-08-08 06:00:00,93
PUT04_057A_P,2022-08-08 07:00:00,200
PUT04_057A_P,2022-08-08 08:00:00,288
PUT04_057A_P,2022-08-08 09:00:00,191
PUT04_057A_P,2022-08-08 10:00:00,205
PUT04_057A_P,2022-08-08 11:00:00,256
PUT04_057A_P,2022-08-08 12:00:00,326
PUT04_057A_P,2022-08-08 13:00:00,370.8
PUT04_057A_P,2022-08-08 14:00:00,378
PUT04_057A_P,2022-08-08 15:00:00,420
